macro_action,count,rate
SAVE_COMPUTE,168,0.4444444444444444
IDLE,62,0.164021164021164
WAIT_BUSY,32,0.08465608465608465
GO_RESOURCE,29,0.07671957671957672
GO_FACTORY,23,0.06084656084656084
GO_CENTER,23,0.06084656084656084
GO_MARKET,18,0.047619047619047616
PRODUCE_SEMICONDUCTOR,6,0.015873015873015872
TEAM_IDLE,5,0.013227513227513227
HARVEST,2,0.005291005291005291
LOAD_GOODS,2,0.005291005291005291
SELL_GOODS,2,0.005291005291005291
UPGRADE_ATTACK,1,0.0026455026455026454
UPGRADE_MOVE_SPEED,1,0.0026455026455026454
RECRUIT_CAR,1,0.0026455026455026454
RECRUIT_DRONE,1,0.0026455026455026454
RECRUIT_ROBOT,1,0.0026455026455026454
OCCUPY_CENTER,1,0.0026455026455026454
