macro_action,count,rate
SAVE_COMPUTE,97,0.2966360856269113
GO_CENTER,64,0.19571865443425077
WAIT_BUSY,37,0.11314984709480122
GO_RESOURCE,34,0.10397553516819572
IDLE,29,0.08868501529051988
GO_FACTORY,22,0.0672782874617737
GO_MARKET,19,0.0581039755351682
PRODUCE_SEMICONDUCTOR,6,0.01834862385321101
TEAM_IDLE,6,0.01834862385321101
HARVEST,4,0.012232415902140673
RECRUIT_CAR,2,0.0061162079510703364
RECRUIT_DRONE,2,0.0061162079510703364
LOAD_GOODS,2,0.0061162079510703364
SELL_GOODS,2,0.0061162079510703364
OCCUPY_CENTER,1,0.0030581039755351682
