macro_action,count,rate
TEAM_IDLE,1056,0.463768115942029
GO_RESOURCE,566,0.24857268335529206
GO_FACTORY,302,0.1326306543697848
GO_MARKET,107,0.046991655687307864
IDLE,87,0.03820816864295125
WAIT_BUSY,39,0.017127799736495388
PRODUCE_SEMICONDUCTOR,18,0.007905138339920948
UPGRADE_ATTACK,13,0.005709266578831796
HARVEST,12,0.005270092226613966
LOAD_GOODS,12,0.005270092226613966
SELL_GOODS,12,0.005270092226613966
GO_ENEMY,10,0.004391743522178305
UPGRADE_MOVE_SPEED,8,0.003513394817742644
UPGRADE_EFFICIENCY,8,0.003513394817742644
GO_CENTER,7,0.0030742204655248135
RETREAT,7,0.0030742204655248135
PRESSURE_ENEMY_FACTORY,6,0.002635046113306983
PRODUCE_TOYS,3,0.0013175230566534915
RECRUIT_ROBOT,2,0.000878348704435661
RECRUIT_CAR,1,0.0004391743522178305
PRODUCE_MEDICINE,1,0.0004391743522178305
