macro_action,count,rate
TEAM_IDLE,254,0.278814489571899
GO_FACTORY,171,0.1877058177826564
GO_RESOURCE,124,0.13611416026344675
GO_MARKET,54,0.059275521405049394
PRODUCE_SEMICONDUCTOR,48,0.052689352360043906
IDLE,48,0.052689352360043906
PRESSURE_ENEMY_FACTORY,35,0.038419319429198684
PRODUCE_MEDICINE,32,0.03512623490669594
PRODUCE_TOYS,28,0.030735455543358946
WAIT_BUSY,27,0.029637760702524697
RETREAT,26,0.02854006586169045
GO_CENTER,21,0.02305159165751921
GO_ENEMY,17,0.018660812294182216
HARVEST,8,0.008781558726673985
LOAD_GOODS,7,0.007683863885839737
SELL_GOODS,6,0.006586169045005488
RECRUIT_CAR,2,0.0021953896816684962
RECRUIT_ROBOT,1,0.0010976948408342481
UPGRADE_ATTACK,1,0.0010976948408342481
UPGRADE_MOVE_SPEED,1,0.0010976948408342481
