macro_action,count,rate
TEAM_IDLE,289,0.536178107606679
PRODUCE_SEMICONDUCTOR,67,0.12430426716141002
GO_FACTORY,61,0.11317254174397032
GO_RESOURCE,53,0.09833024118738404
GO_MARKET,28,0.05194805194805195
IDLE,14,0.025974025974025976
WAIT_BUSY,13,0.02411873840445269
HARVEST,4,0.0074211502782931356
LOAD_GOODS,3,0.0055658627087198514
SELL_GOODS,3,0.0055658627087198514
RECRUIT_CAR,1,0.0018552875695732839
UPGRADE_ATTACK,1,0.0018552875695732839
UPGRADE_EFFICIENCY,1,0.0018552875695732839
UPGRADE_MOVE_SPEED,1,0.0018552875695732839
